# Blog List - 博客列表
# Format: title | slug | path | status | date | tags
# Status: pending (未开始) | in_progress (进行中) | completed (已完成)

n个正态随机数的最大值的渐近估计 | n个正态随机数的最大值的渐近估计 | blogs_raw/n个正态随机数的最大值的渐近估计.md | pending | 2025-11-06 | 数学
流形上的最速下降：5. 对偶梯度下降 | 流形上的最速下降5-对偶梯度下降 | blogs_raw/流形上的最速下降5-对偶梯度下降.md | pending | 2025-11-03 | 机器学习
低精度Attention可能存在有偏的舍入误差 | 低精度attention可能存在有偏的舍入误差 | blogs_raw/低精度attention可能存在有偏的舍入误差.md | pending | 2025-10-27 | 机器学习
MuP之上：1. 好模型的三个特征 | mup之上1-好模型的三个特征 | blogs_raw/mup之上1-好模型的三个特征.md | pending | 2025-10-21 | 优化
随机矩阵的谱范数的快速估计 | 随机矩阵的谱范数的快速估计 | blogs_raw/随机矩阵的谱范数的快速估计.md | pending | 2025-10-12 | 机器学习
DiVeQ：一种非常简洁的VQ训练方案 | diveq一种非常简洁的vq训练方案 | blogs_raw/diveq一种非常简洁的vq训练方案.md | pending | 2025-10-08 | 机器学习
为什么线性注意力要加Short Conv？ | 为什么线性注意力要加short-conv | blogs_raw/为什么线性注意力要加short-conv.md | pending | 2025-10-05 | 机器学习
AdamW的Weight RMS的渐近估计 | adamw的weight-rms的渐近估计 | blogs_raw/adamw的weight-rms的渐近估计.md | pending | 2025-10-01 | 优化
重新思考学习率与Batch Size（四）：EMA | 重新思考学习率与batch-size四ema | blogs_raw/重新思考学习率与batch-size四ema.md | pending | 2025-09-22 | 优化
重新思考学习率与Batch Size（三）：Muon | 重新思考学习率与batch-size三muon | blogs_raw/重新思考学习率与batch-size三muon.md | pending | 2025-09-15 | 优化
n个正态随机数的最大值的渐近估计 | n个正态随机数的最大值的渐近估计-1 | blogs_raw/n个正态随机数的最大值的渐近估计-1.md | pending | 2025-11-06 | 数学
流形上的最速下降：5. 对偶梯度下降 | 流形上的最速下降5-对偶梯度下降-1 | blogs_raw/流形上的最速下降5-对偶梯度下降-1.md | pending | 2025-11-03 | 机器学习
低精度Attention可能存在有偏的舍入误差 | 低精度attention可能存在有偏的舍入误差-1 | blogs_raw/低精度attention可能存在有偏的舍入误差-1.md | pending | 2025-10-27 | 机器学习
MuP之上：1. 好模型的三个特征 | mup之上1-好模型的三个特征-1 | blogs_raw/mup之上1-好模型的三个特征-1.md | pending | 2025-10-21 | 优化
随机矩阵的谱范数的快速估计 | 随机矩阵的谱范数的快速估计-1 | blogs_raw/随机矩阵的谱范数的快速估计-1.md | pending | 2025-10-12 | 机器学习
DiVeQ：一种非常简洁的VQ训练方案 | diveq一种非常简洁的vq训练方案-1 | blogs_raw/diveq一种非常简洁的vq训练方案-1.md | pending | 2025-10-08 | 机器学习
为什么线性注意力要加Short Conv？ | 为什么线性注意力要加short-conv-1 | blogs_raw/为什么线性注意力要加short-conv-1.md | pending | 2025-10-05 | 机器学习
AdamW的Weight RMS的渐近估计 | adamw的weight-rms的渐近估计-1 | blogs_raw/adamw的weight-rms的渐近估计-1.md | pending | 2025-10-01 | 优化
重新思考学习率与Batch Size（四）：EMA | 重新思考学习率与batch-size四ema-1 | blogs_raw/重新思考学习率与batch-size四ema-1.md | pending | 2025-09-22 | 优化
重新思考学习率与Batch Size（三）：Muon | 重新思考学习率与batch-size三muon-1 | blogs_raw/重新思考学习率与batch-size三muon-1.md | pending | 2025-09-15 | 优化
低精度Attention可能存在有... | 低精度attention可能存在有 | blogs_raw/低精度attention可能存在有.md | pending |  | 近似,分析,优化,attention,生成模型
为什么线性注意力要加Short C... | 为什么线性注意力要加short-c | blogs_raw/为什么线性注意力要加short-c.md | pending |  | 线性,RNN,生成模型,attention,生成模型
AdamW的Weight RMS的... | adamw的weight-rms的 | blogs_raw/adamw的weight-rms的.md | pending |  | 估计,梯度,优化器,平均场,生成模型
重新思考学习率与Batch Siz... | 重新思考学习率与batch-siz | blogs_raw/重新思考学习率与batch-siz.md | pending |  | 学习率,优化器,尺度定律,平均场,生成模型
苏剑林: 我的pretrain的小模型，暂时没有链接。 | 苏剑林-我的pretrain的小模型暂时没有链接 | blogs_raw/苏剑林-我的pretrain的小模型暂时没有链接.md | pending |  | 语言模型,attention,位置编码,rope,生成模型
苏剑林: 就是反向构造出来的。 | 苏剑林-就是反向构造出来的 | blogs_raw/苏剑林-就是反向构造出来的.md | pending |  | SSM,SSM,SSM,线性,RNN
个性邮箱 | 个性邮箱 | blogs_raw/个性邮箱.md | pending |  | 邮箱,生成模型,attention,优化,语言模型
观测ISS | 观测iss | blogs_raw/观测iss.md | pending |  | 国际空间站,ISS,观测,生成模型,attention
重新思考学习率与Batch Size（二）：平均场 | 重新思考学习率与batch-size二平均场 | blogs_raw/重新思考学习率与batch-size二平均场.md | pending |  | 学习率,优化器,尺度定律,平均场,生成模型
为什么Adam的Update RMS是0.2？ | 为什么adam的update-rms是02 | blogs_raw/为什么adam的update-rms是02.md | pending |  | 分析,梯度,优化器,平均场,生成模型
重新思考学习率与Batch Size（一）：现状 | 重新思考学习率与batch-size一现状 | blogs_raw/重新思考学习率与batch-size一现状.md | pending |  | 梯度,学习率,优化器,尺度定律,生成模型
Cool Papers更新：简单适配Zotero Connector | cool-papers更新简单适配zotero-connector | blogs_raw/cool-papers更新简单适配zotero-connector.md | pending |  | 网站,论文,酷论文,生成模型,attention
流形上的最速下降：4. Muon + 谱球面 | 流形上的最速下降4-muon-谱球面 | blogs_raw/流形上的最速下降4-muon-谱球面.md | pending |  | 矩阵,优化器,muon,约束,最速下降
ReLU/GeLU/Swish的一个恒等式 | relugeluswish的一个恒等式 | blogs_raw/relugeluswish的一个恒等式.md | pending |  | 分析,神经网络,恒等式,生成模型,attention
流形上的最速下降：3. Muon + Stiefel | 流形上的最速下降3-muon-stiefel | blogs_raw/流形上的最速下降3-muon-stiefel.md | pending |  | 矩阵,优化器,muon,约束,最速下降
流形上的最速下降：2. Muon + 正交 | 流形上的最速下降2-muon-正交 | blogs_raw/流形上的最速下降2-muon-正交.md | pending |  | 矩阵,优化器,muon,约束,最速下降
基于树莓派Zero2W搭建一个随身旁路由 | 基于树莓派zero2w搭建一个随身旁路由 | blogs_raw/基于树莓派zero2w搭建一个随身旁路由.md | pending |  | linux,网络,路由器,智能家居,生成模型
流形上的最速下降：1.  SGD + 超球面 | 流形上的最速下降1-sgd-超球面 | blogs_raw/流形上的最速下降1-sgd-超球面.md | pending |  | 不等式,优化器,约束,最速下降,生成模型
矩阵r次方根和逆r次方根的高效计算 | 矩阵r次方根和逆r次方根的高效计算 | blogs_raw/矩阵r次方根和逆r次方根的高效计算.md | pending |  | 代数,迭代,矩阵,线性,生成模型
矩阵平方根和逆平方根的高效计算 | 矩阵平方根和逆平方根的高效计算 | blogs_raw/矩阵平方根和逆平方根的高效计算.md | pending |  | 代数,迭代,矩阵,线性,生成模型
QK-Clip：让Muon在Scaleup之路上更进一步 | qk-clip让muon在scaleup之路上更进一步 | blogs_raw/qk-clip让muon在scaleup之路上更进一步.md | pending |  | 优化,attention,优化器,muon,生成模型
Transformer升级之路：21、MLA好在哪里?（下） | transformer升级之路21mla好在哪里下 | blogs_raw/transformer升级之路21mla好在哪里下.md | pending |  | 优化,语言模型,生成模型,attention,生成模型
“对角+低秩”三角阵的高效求逆方法 | 对角低秩三角阵的高效求逆方法 | blogs_raw/对角低秩三角阵的高效求逆方法.md | pending |  | 计算,矩阵,RNN,attention,生成模型
通过msign来计算奇异值裁剪mclip（下） | 通过msign来计算奇异值裁剪mclip下 | blogs_raw/通过msign来计算奇异值裁剪mclip下.md | pending |  | 迭代,近似,矩阵,SVD,muon
矩阵符号函数mcsgn能计算什么？ | 矩阵符号函数mcsgn能计算什么 | blogs_raw/矩阵符号函数mcsgn能计算什么.md | pending |  | 代数,矩阵,线性,生成模型,attention
msign的导数 | msign的导数 | blogs_raw/msign的导数.md | pending |  | 微积分,矩阵,梯度,muon,生成模型
通过msign来计算奇异值裁剪mclip（上） | 通过msign来计算奇异值裁剪mclip上 | blogs_raw/通过msign来计算奇异值裁剪mclip上.md | pending |  | 迭代,近似,矩阵,SVD,muon
msign算子的Newton-Schulz迭代（下） | msign算子的newton-schulz迭代下 | blogs_raw/msign算子的newton-schulz迭代下.md | pending |  | 迭代,近似,优化器,muon,生成模型
等值振荡定理：最优多项式逼近的充要条件 | 等值振荡定理最优多项式逼近的充要条件 | blogs_raw/等值振荡定理最优多项式逼近的充要条件.md | pending |  | 导数,近似,最优,分析,生成模型
生成扩散模型漫谈（三十）：从瞬时速度到平均速度 | 生成扩散模型漫谈三十从瞬时速度到平均速度 | blogs_raw/生成扩散模型漫谈三十从瞬时速度到平均速度.md | pending |  | 微分方程,生成模型,采样,扩散,生成模型
MoE环游记：5、均匀分布的反思 | moe环游记5均匀分布的反思 | blogs_raw/moe环游记5均匀分布的反思.md | pending |  | 优化,稀疏,moe,生成模型,attention
msign算子的Newton-Schulz迭代（上） | msign算子的newton-schulz迭代上 | blogs_raw/msign算子的newton-schulz迭代上.md | pending |  | 迭代,近似,优化器,muon,生成模型
Transformer升级之路：20、MLA好在哪里?（上） | transformer升级之路20mla好在哪里上 | blogs_raw/transformer升级之路20mla好在哪里上.md | pending |  | 优化,语言模型,生成模型,attention,生成模型
一道概率不等式：盯着它到显然成立为止！ | 一道概率不等式盯着它到显然成立为止 | blogs_raw/一道概率不等式盯着它到显然成立为止.md | pending |  | 不等式,概率,显然成立,生成模型,attention
SVD的导数 | svd的导数 | blogs_raw/svd的导数.md | pending |  | 微积分,分析,矩阵,SVD,梯度
智能家居之手搓一套能接入米家的零冷水装置 | 智能家居之手搓一套能接入米家的零冷水装置 | blogs_raw/智能家居之手搓一套能接入米家的零冷水装置.md | pending |  | 生活,智能家居,生成模型,attention,优化
矩阵的有效秩（Effective Rank） | 矩阵的有效秩effective-rank | blogs_raw/矩阵的有效秩effective-rank.md | pending |  | 矩阵,熵,稀疏,低秩,生成模型
通过梯度近似寻找Normalization的替代品 | 通过梯度近似寻找normalization的替代品 | blogs_raw/通过梯度近似寻找normalization的替代品.md | pending |  | 函数,分析,梯度,光滑,生成模型
MoE环游记：4、难处应当多投入 | moe环游记4难处应当多投入 | blogs_raw/moe环游记4难处应当多投入.md | pending |  | 优化,梯度,moe,动态,生成模型
高阶MuP：更简明但更高明的谱条件缩放 | 高阶mup更简明但更高明的谱条件缩放 | blogs_raw/高阶mup更简明但更高明的谱条件缩放.md | pending |  | LoRA,梯度,优化器,尺度定律,谱范数
初探MuP：超参数的跨模型尺度迁移规律 | 初探mup超参数的跨模型尺度迁移规律 | blogs_raw/初探mup超参数的跨模型尺度迁移规律.md | pending |  | 梯度,学习率,优化器,尺度定律,生成模型
MoE环游记：3、换个思路来分配 | moe环游记3换个思路来分配 | blogs_raw/moe环游记3换个思路来分配.md | pending |  | 最优,损失函数,梯度,moe,生成模型
Muon续集：为什么我们选择尝试Muon？ | muon续集为什么我们选择尝试muon | blogs_raw/muon续集为什么我们选择尝试muon.md | pending |  | 矩阵,梯度,优化器,谱范数,muon
MoE环游记：2、不患寡而患不均 | moe环游记2不患寡而患不均 | blogs_raw/moe环游记2不患寡而患不均.md | pending |  | 损失函数,梯度,稀疏,moe,生成模型
生成扩散模型漫谈（二十九）：用DDPM来离散编码 | 生成扩散模型漫谈二十九用ddpm来离散编码 | blogs_raw/生成扩散模型漫谈二十九用ddpm来离散编码.md | pending |  | 生成模型,编码,DDPM,扩散,离散化
MoE环游记：1、从几何意义出发 | moe环游记1从几何意义出发 | blogs_raw/moe环游记1从几何意义出发.md | pending |  | 模型,几何,稀疏,moe,生成模型
三个球的交点坐标（三球交会定位） | 三个球的交点坐标三球交会定位 | blogs_raw/三个球的交点坐标三球交会定位.md | pending |  | 方程,几何,生成模型,attention,优化
细水长flow之TARFLOW：流模型满血归来？ | 细水长flow之tarflow流模型满血归来 | blogs_raw/细水长flow之tarflow流模型满血归来.md | pending |  | 流模型,flow,生成模型,attention,生成模型
低秩近似之路（五）：CUR | 低秩近似之路五cur | blogs_raw/低秩近似之路五cur.md | pending |  | 近似,最优,矩阵,低秩,生成模型
为什么梯度裁剪的默认模长是1？ | 为什么梯度裁剪的默认模长是1 | blogs_raw/为什么梯度裁剪的默认模长是1.md | pending |  | 优化,梯度,学习率,优化器,生成模型
从谱范数梯度到新式权重衰减的思考 | 从谱范数梯度到新式权重衰减的思考 | blogs_raw/从谱范数梯度到新式权重衰减的思考.md | pending |  | 矩阵,优化,梯度,优化器,谱范数
生成扩散模型漫谈（二十八）：分步理解一致性模型 | 生成扩散模型漫谈二十八分步理解一致性模型 | blogs_raw/生成扩散模型漫谈二十八分步理解一致性模型.md | pending |  | 微分方程,生成模型,采样,扩散,生成模型
生成扩散模型漫谈（二十七）：将步长作为条件输入 | 生成扩散模型漫谈二十七将步长作为条件输入 | blogs_raw/生成扩散模型漫谈二十七将步长作为条件输入.md | pending |  | 微分方程,生成模型,采样,扩散,生成模型
Muon优化器赏析：从向量到矩阵的本质跨越 | muon优化器赏析从向量到矩阵的本质跨越 | blogs_raw/muon优化器赏析从向量到矩阵的本质跨越.md | pending |  | 矩阵,梯度,优化器,谱范数,muon
从Hessian近似看自适应学习率优化器 | 从hessian近似看自适应学习率优化器 | blogs_raw/从hessian近似看自适应学习率优化器.md | pending |  | 优化,梯度,学习率,优化器,生成模型
生成扩散模型漫谈（二十六）：基于恒等式的蒸馏（下） | 生成扩散模型漫谈二十六基于恒等式的蒸馏下 | blogs_raw/生成扩散模型漫谈二十六基于恒等式的蒸馏下.md | pending |  | 生成模型,梯度,扩散,去噪,生成模型
Adam的epsilon如何影响学习率的Scaling Law？ | adam的epsilon如何影响学习率的scaling-law | blogs_raw/adam的epsilon如何影响学习率的scaling-law.md | pending |  | 梯度,学习率,优化器,尺度定律,生成模型
当Batch Size增大时，学习率该如何随之变化？ | 当batch-size增大时学习率该如何随之变化 | blogs_raw/当batch-size增大时学习率该如何随之变化.md | pending |  | 梯度,学习率,优化器,尺度定律,生成模型
VQ的又一技巧：给编码表加一个线性变换 | vq的又一技巧给编码表加一个线性变换 | blogs_raw/vq的又一技巧给编码表加一个线性变换.md | pending |  | 生成模型,编码,梯度,离散化,生成模型
低秩近似之路（四）：ID | 低秩近似之路四id | blogs_raw/低秩近似之路四id.md | pending |  | 近似,最优,矩阵,低秩,生成模型
VQ的旋转技巧：梯度直通估计的一般推广 | vq的旋转技巧梯度直通估计的一般推广 | blogs_raw/vq的旋转技巧梯度直通估计的一般推广.md | pending |  | 生成模型,编码,梯度,离散化,生成模型
Cool Papers浏览器扩展升级至v0.2.0 | cool-papers浏览器扩展升级至v020 | blogs_raw/cool-papers浏览器扩展升级至v020.md | pending |  | 网站,论文,酷论文,生成模型,attention
让MathJax的数学公式随窗口大小自动缩放 | 让mathjax的数学公式随窗口大小自动缩放 | blogs_raw/让mathjax的数学公式随窗口大小自动缩放.md | pending |  | 网站,latex,生成模型,attention,优化
低秩近似之路（三）：CR | 低秩近似之路三cr | blogs_raw/低秩近似之路三cr.md | pending |  | 近似,最优,矩阵,低秩,生成模型
低秩近似之路（二）：SVD | 低秩近似之路二svd | blogs_raw/低秩近似之路二svd.md | pending |  | 近似,最优,矩阵,SVD,低秩
利用“熄火保护 + 通断器”实现燃气灶智能关火 | 利用熄火保护-通断器实现燃气灶智能关火 | blogs_raw/利用熄火保护-通断器实现燃气灶智能关火.md | pending |  | 生活,智能家居,米家,生成模型,attention
Softmax后传：寻找Top-K的光滑近似 | softmax后传寻找top-k的光滑近似 | blogs_raw/softmax后传寻找top-k的光滑近似.md | pending |  | 概率,近似,梯度,光滑,生成模型
低秩近似之路（一）：伪逆 | 低秩近似之路一伪逆 | blogs_raw/低秩近似之路一伪逆.md | pending |  | 近似,矩阵,低秩,生成模型,attention
“闭门造车”之多模态思路浅谈（三）：位置编码 | 闭门造车之多模态思路浅谈三位置编码 | blogs_raw/闭门造车之多模态思路浅谈三位置编码.md | pending |  | attention,位置编码,多模态,生成模型,attention
Decoder-only的LLM为什么需要位置编码？ | decoder-only的llm为什么需要位置编码 | blogs_raw/decoder-only的llm为什么需要位置编码.md | pending |  | 语言模型,attention,位置编码,生成模型,attention
近乎完美地解决MathJax与Marked的冲突 | 近乎完美地解决mathjax与marked的冲突 | blogs_raw/近乎完美地解决mathjax与marked的冲突.md | pending |  | 网站,latex,论文,酷论文,生成模型
让MathJax更好地兼容谷歌翻译和延时加载 | 让mathjax更好地兼容谷歌翻译和延时加载 | blogs_raw/让mathjax更好地兼容谷歌翻译和延时加载.md | pending |  | 网站,latex,论文,酷论文,生成模型
“Cool Papers + 站内搜索”的一些新尝试 | cool-papers-站内搜索的一些新尝试 | blogs_raw/cool-papers-站内搜索的一些新尝试.md | pending |  | 网站,论文,酷论文,生成模型,attention
通向最优分布之路：概率空间的最小化 | 通向最优分布之路概率空间的最小化 | blogs_raw/通向最优分布之路概率空间的最小化.md | pending |  | 概率,优化,梯度,扩散,生成模型
对齐全量微调！这是我看过最精彩的LoRA改进（二） | 对齐全量微调这是我看过最精彩的lora改进二 | blogs_raw/对齐全量微调这是我看过最精彩的lora改进二.md | pending |  | 梯度,优化器,低秩,lora,生成模型
Monarch矩阵：计算高效的稀疏型矩阵分解 | monarch矩阵计算高效的稀疏型矩阵分解 | blogs_raw/monarch矩阵计算高效的稀疏型矩阵分解.md | pending |  | 矩阵,语言模型,稀疏,低秩,生成模型
